"Website","Address","Type","RestaurantName","Menu1","Menu2","Menu3","PriceRange","Telphone","Star_rating","CurrentPage"
,,,,,,,,,,"https://www.google.com/ads/conversion/864073483/?random=1834776672&cv=8&fst=*&num=1&fmt=1&label=SuCZCJq78m8Qi-6CnAM&bg=ffffff&hl=en&guid=ON&eid=659235991&u_h=1080&u_w=1920&u_ah=1080&u_aw=1920&u_cd=24&u_his=11&u_tz=-240&u_java=false&u_nplug=11&u_nmime=152&frm=2&url=https://6372968.fls.doubleclick.net/activityi%3Bsrc%3D6372968%3Btype%3Dinvmedia%3Bcat%3Dqr3hlsqk%3Bdc_lat%3D%3Bdc_rdid%3D%3Btag_for_child_directed_treatment%3D%3Bord%3D4368438779711.5864%3F&ref=https://www.yelp.com/biz/mofu-shoppe-raleigh-5%3Fosq%3DRestaurants&ctc_id=CAIVAgAAAB0CAAAA&ct_cookie_present=false&cdct=2&is_vtc=1&ocp_id=2X3BWZ2EIsiXMJ7fmKgE&random=4273817357"
"llgrill.com","305 McCormick StGarner, NC 27529","Bars,                    American (Traditional)","Locked & Loaded Bar & Grill",,,,"$11-30","(919) 661-6688","4.0","https://www.yelp.com/biz/locked-and-loaded-bar-and-grill-garner-2?osq=Restaurants"
"bidamanda.com","222 S Blount StRaleigh, NC 27601","Laotian,                    Asian Fusion,                    Thai","Bida Manda",,,,"$11-30","(919) 829-9999","4.5","https://www.yelp.com/biz/bida-manda-raleigh?osq=Restaurants"
"lacocinanc.com","1219 Timber Dr EGarner, NC 27529","Mexican","La Cocina",,,,"$11-30","(919) 772-6999","4.0","https://www.yelp.com/biz/la-cocina-garner?osq=Restaurants"
"kraftysburgersandbrews.com","1177 Timber Dr EGarner, NC 27529","American (Traditional),                    Bars","Krafty's",,,,"$11-30","(919) 329-8000","3.5","https://www.yelp.com/biz/kraftys-garner?osq=Restaurants"
"thailotusinc.com","3450 Kildaire Farm RdSte 150Cary, NC 27518","Thai","Thai Lotus",,,,"$11-30","(984) 229-7333","4.5","https://www.yelp.com/biz/thai-lotus-cary?osq=Restaurants"
,"7901 White Oak RdGarner, NC 27529","Breakfast & Brunch,                    Pizza,                    Sandwiches","White Oak Grill & Lounge",,,"Onion Rings","Under $10","(919) 779-0710","4.0","https://www.yelp.com/biz/white-oak-grill-and-lounge-garner?osq=Restaurants"
,"63 Son-Lan PkwyGarner, NC 27529","Japanese","Hibachi & Company",,,,"Under $10","(919) 661-0888","4.5","https://www.yelp.com/biz/hibachi-and-company-garner?osq=Restaurants"
"mojosgrill.com","2648 Timber DrGarner, NC 27529","Chicken Wings,                    American (New),                    Burgers","MoJo's Grill",,,,"Under $10","(919) 662-1115","4.0","https://www.yelp.com/biz/mojos-grill-garner?osq=Restaurants"
"phovietnamone.com","2811 Hillsborough StRaleigh, NC 27607","Vietnamese,                    Soup","Pho Vietnam",,,,"$11-30","(919) 615-0741","4.0","https://www.yelp.com/biz/pho-vietnam-raleigh-3?osq=Restaurants"
"oakcitycafe.com","3909 S Wilmington StRaleigh, NC 27603","Cafes,                    American (New),                    Sandwiches","Oak City Cafe",,,,"Under $10","(919) 661-0001","4.5","https://www.yelp.com/biz/oak-city-cafe-raleigh?osq=Restaurants"
,"522 Village CtGarner, NC 27529","Grocery,                    Mexican","La Zacatecana",,,,"Under $10","(919) 662-8096","5.0","https://www.yelp.com/biz/la-zacatecana-garner?osq=Restaurants"
"blazepizza.com","140 Cabela DrGarner, NC 27529","Salad,                    Pizza,                    Fast Food","Blaze Fast-Fire'd Pizza",,,,"Under $10","(919) 330-1742","4.0","https://www.yelp.com/biz/blaze-fast-fired-pizza-garner?osq=Restaurants"
,"5180 Nc Hwy 42 WGarner, NC 27529","Barbeque","Smithfield's Chicken n Bar-B-Q",,,,"Under $10","(919) 773-0774","4.0","https://www.yelp.com/biz/smithfields-chicken-n-bar-b-q-garner-3?osq=Restaurants"
"thepit-raleigh.com","328 W Davie StRaleigh, NC 27601","Barbeque,                    American (Traditional),                    Soul Food","The Pit","Baby Back Ribs","Carolina Rib Tip Sandwich","BBQ Chicken","$11-30","(919) 890-4500","4.0","https://www.yelp.com/biz/the-pit-raleigh?osq=Restaurants"
"theredneckbbqlab.com","12101- B Nc Hwy 210Benson, NC 27504","Barbeque,                    Sandwiches","The Redneck BBQ Lab",,,,"Under $10","(919) 938-8334","4.0","https://www.yelp.com/biz/the-redneck-bbq-lab-benson-2?osq=Restaurants"
,,,,,,,,,,"https://s3-media1.fl.yelpcdn.com/assets/2/www/css/cdc60037b989/biz_details-pkg.css"
"fiestamexicananc-garner.com","5131 Nc Hwy 42Ste 270Garner, NC 27529","Mexican","Fiesta Mexicana Garner",,,,"$11-30","(919) 772-5498","3.5","https://www.yelp.com/biz/fiesta-mexicana-garner-garner?osq=Restaurants"
"hibachichina88.com","239 Timber DrGarner, NC 27529","Japanese,                    Sushi Bars,                    Chinese","Hibachi China 88",,,,"Under $10","(984) 202-5880","4.0","https://www.yelp.com/biz/hibachi-china-88-garner-3?osq=Restaurants"
"buffbrothers.com","7245 White Oak RdGarner, NC 27529","Sports Bars,                    Pizza,                    Salad","Buffalo Brothers",,,,"$11-30","(919) 803-1939","3.0","https://www.yelp.com/biz/buffalo-brothers-garner?osq=Restaurants"
"crawfordandsonrestaurant.com","618 N Person StRaleigh, NC 27604","American (New),                    Diners,                    Bars","Crawford & Son",,,,"$31-60","(919) 307-4647","4.5","https://www.yelp.com/biz/crawford-and-son-raleigh?osq=Restaurants"
,"9629 Bitter Melon DrAngier, NC 27501","Filipino","Filipino Cuisine",,,,"$11-30","(919) 639-2422","5.0","https://www.yelp.com/biz/filipino-cuisine-angier?osq=Restaurants"
"ac-restaurants.com/pooles","426 S McDowell StRaleigh, NC 27601","American (New)","Poole's",,,,"$11-30","(919) 832-4477","4.0","https://www.yelp.com/biz/pooles-raleigh?osq=Restaurants"
"clubhouse4042.com/contact","51 A Technology DrGarner, NC 27529","Chicken Wings","The Clubhouse Restaurant Bar & Grill",,,,"$11-30","(919) 662-2207","3.5","https://www.yelp.com/biz/the-clubhouse-restaurant-bar-and-grill-garner?osq=Restaurants"
"prosepicurean.com","211 E Chatham StCary, NC 27511","Modern European,                    French,                    Italian","Pro's Epicurean Market & Cafe",,,,"$11-30","(919) 377-1788","4.0","https://www.yelp.com/biz/pros-epicurean-market-and-cafe-cary?osq=Restaurants"
,"11471 US 70 BusClayton, NC 27520","Dominican,                    Sandwiches","Caribbean Delight",,,,"$11-30","(919) 243-1618","4.5","https://www.yelp.com/biz/caribbean-delight-clayton?osq=Restaurants"
"redrobin.com","10 Cabela DrGarner, NC 27529","Burgers,                    American (Traditional)","Red Robin Gourmet Burgers",,,,"$11-30",,"3.0","https://www.yelp.com/biz/red-robin-gourmet-burgers-garner?osq=Restaurants"
"thecowfish.com","4208 Six Forks RdSte 100Raleigh, NC 27609","Sushi Bars,                    Burgers","The Cowfish Sushi Burger Bar",,,,"$11-30","(919) 784-0400","4.5","https://www.yelp.com/biz/the-cowfish-sushi-burger-bar-raleigh?osq=Restaurants"
"bennysva.com/BennyCapitales","121 Fayetteville StSte 110Raleigh, NC 27601","Pizza","Benny Capitale's",,,,"Under $10","(919) 239-4173","4.0","https://www.yelp.com/biz/benny-capitales-raleigh?osq=Restaurants"
"clevelanddrafthouse.com","6101 Nc Hwy 42 WGarner, NC 27529","Burgers,                    Sports Bars,                    American (Traditional)","Cleveland Draft House - Garner",,,,"$11-30","(919) 771-2337","3.0","https://www.yelp.com/biz/cleveland-draft-house-garner-garner?osq=Restaurants"
"second-empire.com","330 Hillsborough StRaleigh, NC 27603","American (New)","Second Empire Restaurant",,,,"$31-60","(919) 829-3663","4.5","https://www.yelp.com/biz/second-empire-restaurant-and-tavern-raleigh?osq=Restaurants"
"ragazzisitalian.com","1514 US Hwy 70 WGarner, NC 27529","Italian","Ragazzi's","Chicken Ragazzi",,,"$11-30","(919) 772-9772","3.5","https://www.yelp.com/biz/ragazzis-garner?osq=Restaurants"
"seasons52.com","4325 Glenwood AveRaleigh, NC 27612","American (New),                    Seafood,                    Wine Bars","Seasons 52","Southern-Style Shrimp & Grits",,"Braised Short Rib & Aged Cheddar","$11-30","(919) 787-3052","4.5","https://www.yelp.com/biz/seasons-52-raleigh?osq=Restaurants"
"rockharborgrillfuquay.com","132 S Fuquay AveFuquay Varina, NC 27526","Seafood,                    American (New),                    Sandwiches","Rock Harbor Grill",,,,"$11-30","(984) 225-2256","4.0","https://www.yelp.com/biz/rock-harbor-grill-fuquay-varina?osq=Restaurants"
"stanburyraleigh.com","938 N Blount StRaleigh, NC 27604","American (New)","Stanbury",,,,"$31-60","(919) 977-4321","4.5","https://www.yelp.com/biz/stanbury-raleigh?osq=Restaurants"
"snoopys.com","82-101 Glen RdGarner, NC 27529","Hot Dogs,                    Burgers,                    Fast Food","Snoopy's Hot Dogs",,,,"Under $10","(919) 779-2545","4.0","https://www.yelp.com/biz/snoopys-hot-dogs-garner-2?osq=Restaurants"
,"119 Oleander DrClayton, NC 27527","Bars,                    Pizza,                    Burgers","Tavern 42",,,,"$11-30","(919) 553-8888","4.5","https://www.yelp.com/biz/tavern-42-clayton?osq=Restaurants"
"currypotcary.com","740 E Chatham StSte ECary, NC 27511","Indian,                    Halal","Curry Pot",,,,"$11-30","(919) 463-9130","3.5","https://www.yelp.com/biz/curry-pot-cary?osq=Restaurants"
"themasonjartavern.com","305 S Main StFuquay Varina, NC 27526","American (Traditional),                    Salad,                    Burgers","The Mason Jar Tavern",,,,"$11-30","(919) 762-5555","4.0","https://www.yelp.com/biz/the-mason-jar-tavern-fuquay-varina?osq=Restaurants"
"juicevibes.com","1369 Kildaire Farm RdCary, NC 27511","Juice Bars & Smoothies,                    Salad,                    Acai Bowls","JuiceVibes",,,,"$31-60","(919) 377-8923","4.5","https://www.yelp.com/biz/juicevibes-cary-2?osq=Restaurants"
"goodharvestny.com","1104 Ledsome LnCary, NC 27511","Chinese,                    Hot Pot","Good Harvest",,,,"$31-60","(919) 977-3836","3.5","https://www.yelp.com/biz/good-harvest-cary?osq=Restaurants"
"lucky32.com","7307 Tryon RdCary, NC 27511","American (New),                    Southern","Lucky 32 Southern Kitchen","Buttermilk-Fried Green Tomatoes","Shrimp & Grits","Black Bean Cakes","$11-30","(919) 233-1632","4.0","https://www.yelp.com/biz/lucky-32-southern-kitchen-cary?osq=Restaurants"
"guasaca.com","4025 Lake Boone TrlSte 107Raleigh, NC 27607","Venezuelan","Guasaca",,,,"Under $10","(919) 322-4928","4.5","https://www.yelp.com/biz/guasaca-raleigh?osq=Restaurants"
"longhornsteakhouse.com","300 Conservation RdGarner, NC 27529","Steakhouses,                    American (Traditional),                    Barbeque","LongHorn Steakhouse",,,"Quality","$11-30","(919) 772-7707","3.0","https://www.yelp.com/biz/longhorn-steakhouse-garner?osq=Restaurants"
"carolinaalehouse.com","400 Conservation RdGarner, NC 27529","American (Traditional),                    Sports Bars","Carolina Ale House",,,,"$11-30","(919) 772-2646","2.5","https://www.yelp.com/biz/carolina-ale-house-garner-2?osq=Restaurants"
"bukuraleigh.com/buku","110 E Davie StRaleigh, NC 27601","Asian Fusion,                    Tapas/Small Plates","bu*ku: Global Street Food","Baja Crab Flautas","Filipino Lumpia","Bu ku Edamame","$11-30","(919) 834-6963","4.0","https://www.yelp.com/biz/bu-ku-global-street-food-raleigh?osq=Restaurants"
"thefictionkitchen.com","428 S Dawson StRaleigh, NC 27601","Vegan,                    Vegetarian,                    Gluten-Free","The Fiction Kitchen",,,,"$11-30","(919) 831-4177","4.5","https://www.yelp.com/biz/the-fiction-kitchen-raleigh?osq=Restaurants"
"xocoraleigh.com","410 Glenwood AveRaleigh, NC 27603","Mexican,                    Tex-Mex","Xoco Mexican Bar & Grill",,,,"$11-30","(919) 835-9010","3.5","https://www.yelp.com/biz/xoco-mexican-bar-and-grill-raleigh-2?osq=Restaurants"
"socaraleigh.com","2130 Clark AveRaleigh, NC 27605","Caribbean,                    Latin American,                    Desserts","soca raleigh",,,,"$11-30","(919) 322-0440","4.0","https://www.yelp.com/biz/soca-raleigh-raleigh?osq=Restaurants"
,"1311 E Broad StFuquay Varina, NC 27526","Indian","Zeera Indian Restaurant",,,,"$11-30","(919) 762-6215","4.5","https://www.yelp.com/biz/zeera-indian-restaurant-fuquay-varina?osq=Restaurants"
"kalemecrazy.net","302 Colonades WaySte 209Cary, NC 27518","Juice Bars & Smoothies,                    Coffee & Tea,                    Wraps","Kale Me Crazy",,,,"$11-30","(984) 200-2960","3.5","https://www.yelp.com/biz/kale-me-crazy-cary?osq=Restaurants"
"parksideraleigh.com","301 W Martin StRaleigh, NC 27601","American (Traditional),                    Beer Bar,                    Breakfast & Brunch","Parkside",,,,"$11-30","(984) 232-8969","4.0","https://www.yelp.com/biz/parkside-raleigh?osq=Restaurants"
,"7425 Knightdale BlvdKnightdale, NC 27545","Mexican,                    Desserts,                    Seafood","Salsa Azteca Mexican Grill",,,,"Under $10","(919) 295-5355","4.5","https://www.yelp.com/biz/salsa-azteca-mexican-grill-knightdale?osq=Restaurants"
"southsnackshack.com","Garner, NC 27529","Food Trucks,                    Burgers,                    Sandwiches","Southern Snack Shack",,,,,"(919) 210-1582","4.0","https://www.yelp.com/biz/southern-snack-shack-garner?osq=Restaurants"
,,,,,,,,,,"https://www.yelp.com/yly-ysdxruuzdzfutwaeectu.js"
"bosphorus-nc.com","329 N Harrison AveCary, NC 27513","Turkish,                    Middle Eastern,                    Mediterranean","Bosphorus","Cigar Bourek (sigara Boregi)","Ali Nazik","Gyro Plate","$11-30","(919) 460-1300","4.5","https://www.yelp.com/biz/bosphorus-cary?osq=Restaurants"
"garibalditrattoria.com","900 N Main StFuquay Varina, NC 27526","Italian","Garibaldi Trattoria",,,,"$11-30","(919) 552-8868","4.5","https://www.yelp.com/biz/garibaldi-trattoria-fuquay-varina?osq=Restaurants"
"livingkitchen.com","555 Fayetteville StSte 100Raleigh, NC 27601","Vegan,                    Vegetarian,                    Live/Raw Food","Living Kitchen",,,,"$11-30","(919) 324-3515","4.5","https://www.yelp.com/biz/living-kitchen-raleigh?osq=Restaurants"
"joseandsons.com","327 W Davie StRaleigh, NC 27601","American (New),                    Mexican","Jose and Sons","L Enchiladas Del Mar","Enchiladas Del Mar","Lunch Chicharron and Waffle","$11-30","(919) 755-0556","4.0","https://www.yelp.com/biz/jose-and-sons-raleigh?osq=Restaurants"
"thedistrictraleigh.com","317 W Morgan StSte 117Raleigh, NC 27601","Southern,                    Bars,                    Asian Fusion","The District Raleigh",,,,"$11-30","(919) 977-5440","4.0","https://www.yelp.com/biz/the-district-raleigh-raleigh?osq=Restaurants"
"charliesbbqandgrille.org","8948 Cleveland RdSte 104Clayton, NC 27520","Barbeque","Charlie's BBQ & Grille",,,,"Under $10","(919) 934-0093","4.5","https://www.yelp.com/biz/charlies-bbq-and-grille-clayton-2?osq=Restaurants"
"taqueriaeltororaleigh.com","3601 Junction BlvdRaleigh, NC 27603","Mexican","Taqueria El Toro",,,,"Under $10","(919) 661-5676","4.5","https://www.yelp.com/biz/taqueria-el-toro-raleigh?osq=Restaurants"
"plateskitchen.com","301 Glenwood AveSte 100Raleigh, NC 27603","American (New)","Plates Neighborhood Kitchen",,,,"$11-30","(919) 828-0018","4.0","https://www.yelp.com/biz/plates-neighborhood-kitchen-raleigh?osq=Restaurants"
"baddaddysburgerbar.com","111 Seaboard AveRaleigh, NC 27604","Burgers","Bad Daddy's Burger Bar","Bacon Cheeseburger on Steroids","Bad Ass Burger","Mama Ricotta s Burger","$11-30","(919) 747-9163","4.5","https://www.yelp.com/biz/bad-daddys-burger-bar-raleigh-10?osq=Restaurants"
,"1545 US-70Garner, NC 27529","Mongolian","Bali Hai",,,,"Under $10","(984) 200-5100","3.0","https://www.yelp.com/biz/bali-hai-garner?osq=Restaurants"
"groundsnc.com","320 Vintage Point LnWendell, NC 27591","Cafes,                    Coffee & Tea,                    Bakeries","Grounds Cafe",,,,"Under $10","(919) 374-7227","4.5","https://www.yelp.com/biz/grounds-cafe-wendell?osq=Restaurants"
"glenwoodgrill.com","2603-151 Glenwood AveRaleigh, NC 27608","American (New),                    Wine Bars","Glenwood Grill","Charleston She Crab Soup","She Crab Soup","Seafood & Grits*","$11-30","(919) 782-3102","4.5","https://www.yelp.com/biz/glenwood-grill-raleigh?osq=Restaurants"
"nilecafenc.com","8204 Tryon Woods DrSte 111Cary, NC 27518","Mediterranean,                    Egyptian,                    Greek","Nile Cafe Mediterranean Food",,,,"$11-30","(919) 229-4664","4.5","https://www.yelp.com/biz/nile-cafe-mediterranean-food-cary?osq=Restaurants"
